cinema_id,cinema_name,cinema_details
20225001,Zamit,540 Brown Point
20225002,Keylex,3773 Eggendart Point
20225003,Matsoft,5 Eagle Crest Pass
20225004,Fix San,96952 Porter Center
20225005,Stim,92 Lien Crossing
20225006,Pannier,71 Melody Junction
20225007,Bigtax,5023 Cascade Court
20225008,Zathin,5655 Fallview Trail
20225009,Namfix,2113 Anderson Plaza
20225010,Holdlamis,0889 Hagan Pass
20225011,Tin,52431 Oneill Drive
20225012,Aerified,3 Bonner Center
20225013,Solarbreeze,29774 Caliangt Way
20225014,Rank,5 Longview Road
20225015,Mat Lam Tam,71156 Mosinee Parkway
20225016,Subin,65587 Fieldstone Drive
20225017,Zontrax,63698 Amoth Parkway
20225018,Transcof,63 Declaration Park
20225019,Lotlux,4718 Dovetail Avenue
20225020,Cookley,6085 Warrior Street
20225021,Cardify,2609 Loomis Center
20225022,Zathin,2670 Anderson Terrace
20225023,Tempsoft,189 John Wall Way
20225024,Tampflex,3 Ridgeway Pass
20225025,Veribet,9 Gina Pass
20225026,Stronghold,0797 Monument Court
20225027,Namfix,23396 Milwaukee Trail
20225028,Domainer,57 Westridge Junction
20225029,Bitchip,84 Myrtle Trail
20225030,Keylex,09227 Meadow Vale Terrace
20225031,Ronstring,47426 Mayer Street
20225032,Regrant,7772 Bobwhite Parkway
20225033,Cardguard,3638 Meadow Ridge Lane
20225034,Stronghold,301 Texas Way
20225035,Cardify,17854 Merchant Parkway
20225036,It,42981 Heath Hill
20225037,Cardguard,06258 Veith Park
20225038,Alpha,06 Troy Parkway
20225039,Daltfresh,8 6th Pass
20225040,Stim,9587 Kropf Drive
20225041,Vagram,8 Summit Parkway
20225042,Veribet,89279 Erie Circle
20225043,Transcof,0525 American Ash Drive
20225044,Y-find,63 Westport Junction
20225045,Fintone,0 Surrey Lane
20225046,Transcof,05 Packers Hill
20225047,Lotlux,837 Westend Center
20225048,Gembucket,2 Fisk Pass
20225049,Cookley,2 Mayer Alley
20225050,Lotlux,8914 Iowa Hill
20225051,Kanlam,29 Anhalt Park
20225052,Cardguard,23 6th Parkway
20225053,Holdlamis,13854 Graedel Alley
20225054,Sonair,6 Dwight Parkway
20225055,Quo Lux,3 Mitchell Point
20225056,Sub-Ex,6 Northwestern Drive
20225057,Viva,80 Dunning Place
20225058,Ventosanzap,7 Thackeray Crossing
20225059,Zoolab,6356 Ronald Regan Pass
20225060,Flexidy,534 Hanson Court
20225061,Ventosanzap,33 Glendale Street
20225062,Stronghold,11 Victoria Road
20225063,Bigtax,227 Lakeland Alley
20225064,Lotlux,317 Hagan Park
20225065,Alphazap,4 Carberry Plaza
20225066,Ronstring,9 Portage Plaza
20225067,Opela,66040 Lighthouse Bay Point
20225068,Konklab,582 Glacier Hill Lane
20225069,Flowdesk,634 Maple Wood Park
20225070,Stringtough,121 Orin Way
20225071,Keylex,20 Warbler Point
20225072,Latlux,23 Independence Court
20225073,Biodex,439 Bellgrove Alley
20225074,Voltsillam,44 Goodland Point
20225075,Zaam-Dox,29 Morning Crossing
20225076,Fintone,011 Golf Parkway
20225077,Subin,220 Gulseth Pass
20225078,Tresom,930 Donald Pass
20225079,Zathin,696 Ronald Regan Way
20225080,Opela,8 Hovde Pass
20225081,Holdlamis,4 American Circle
20225082,Flexidy,9126 Clemons Alley
20225083,Cookley,7 Northwestern Avenue
20225084,Tempsoft,06 Shelley Park
20225085,It,0 Maple Street
20225086,Job,36 Elgar Lane
20225087,Biodex,13 Summer Ridge Avenue
20225088,Namfix,9 Dapin Hill
20225089,Alpha,508 Michigan Lane
20225090,Fixflex,675 Debra Road
20225091,Wrapsafe,02 Clemons Hill
20225092,Cardify,3329 Northwestern Crossing
20225093,Prodder,222 Ridge Oak Park
20225094,Bitwolf,682 Maple Park
20225095,Tresom,6 Nancy Trail
20225096,Opela,1 Muir Junction
20225097,Keylex,62243 Butterfield Way
20225098,Zontrax,74890 Donald Alley
20225099,Alpha,56446 Scott Parkway
20225100,Gembucket,81 Lindbergh Road
